cell_type,region_a,region_b,kf,kn,omega
Astrocyte,Human A19,Human LEC,0.041488943440969595,0.0005373663778772721,77.20792581936558
Astrocyte,Human A19,Human LG,0.20451002990447192,0.0012776481255405946,160.06756932229698
Astrocyte,Human A19,Human LP,0.18362788255151508,0.001251795353946484,146.69161534479173
Astrocyte,Human A19,Human LP-VPL,0.20612330610214696,0.001845536835902844,111.68745163588709
Astrocyte,Human A19,Human La,0.09054785784493957,0.0014278995627799089,63.41332416171927
Astrocyte,Human A19,Human M1C,0.027812042195276613,0.0010682455390041835,26.035252364548086
Astrocyte,Human A19,Human MD,0.19619173821814467,0.0011944303050640454,164.25549266989242
Astrocyte,Human A19,Human MD-Re,0.21137968738810703,0.0013058077653467855,161.87657402387293
Astrocyte,Human A19,Human MEC,0.03559917266232582,0.0007927548967496751,44.90564840190047
Astrocyte,Human A19,Human MG,0.19393745301272883,0.002302452639337794,84.23081096187367
Astrocyte,Human A19,Human MN,0.3149734630659806,0.004340621110993604,72.56414577817887
Astrocyte,Human A19,Human MTG,0.008821539087339668,0.0003334580429841369,26.454719785419368
Astrocyte,Human A19,Human MoAN,0.2858635758306436,0.0020903963060338745,136.75089982005127
Astrocyte,Human A19,Human MoRF-MoEN,0.2533175853841112,0.0014862792203454692,170.43741304896284
Astrocyte,Human A19,Human MoSR,0.32772520037095665,0.0037213433068405367,88.06637102482198
Astrocyte,Human A19,Human NAC,0.09181592652426726,0.0008446644081965692,108.70107184970908
Astrocyte,Human A19,Human PAG,0.21699725301825912,0.0011992925560940608,180.93771358424073
Astrocyte,Human A19,Human PAG-DR,0.20964553518862916,0.0010859414916733951,193.05417169904177
Astrocyte,Human A19,Human PB,0.23633165896437716,0.0011129695828133602,212.34332241765216
Astrocyte,Human A19,Human PN,0.24942004407516344,0.0018549805302865013,134.4596560464387
Astrocyte,Human A19,Human PTR,0.19381955616949753,0.0011973991645389992,161.86712159943622
Astrocyte,Human A19,Human Pir,0.05501395244509601,0.0004844558753206553,113.55823150804592
Astrocyte,Human A19,Human PnAN,0.2471708777951192,0.0016631577902171874,148.61541054552725
Astrocyte,Human A19,Human PnEN,0.24646781568781215,0.0019524307058028576,126.23639597312228
